Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","

Staying at the hotel during the winter season is a truly remarkable experience.",a,b,20,0.9978546500205994,0.001128286705352366,0.0010170838795602322,NEUTRAL,0.9965347051620483,0.0005202525062486529,0.0029451046139001846,NEUTRAL,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","Initially, the room was a bit cramped, even the bathroom, but after changing to a suite it was perfect.",a,b,20,0.9971088767051697,0.0019956824835389853,0.0008953564683906734,NEUTRAL,0.9176645874977112,0.08022594451904297,0.002109484514221549,NEUTRAL,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","With its modern design, the suite had a magnificent view from the window.",a,b,20,0.9977672100067139,0.0012049966026097536,0.0010277783730998635,NEUTRAL,0.9958321452140808,0.0013705422170460224,0.002797319320961833,NEUTRAL,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","The breakfast and dinner options were expensive, but there was excellent taste and quality.",a,b,20,0.9977255463600159,0.001175508601590991,0.0010990308364853263,NEUTRAL,0.9811040163040161,0.014185728505253792,0.004710289649665356,NEUTRAL,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.","Contrary to what would usually be expected, there was no free coffee maker or coffee available.",a,b,20,0.8433550596237183,0.15230368077754974,0.004341381136327982,NEUTRAL,0.7058561444282532,0.2903525233268738,0.0037913788110017776,NEUTRAL,ref
"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions.",The toiletries were great but there,a,b,20,0.9340208172798157,0.06274980306625366,0.0032294595148414373,NEUTRAL,0.9583829641342163,0.007040095049887896,0.034576985985040665,NEUTRAL,ref
The chambers are substantial and accommodatingly decorated.,"

Staying at the hotel during the winter season is a truly remarkable experience.",a,b,20,0.9941375255584717,0.00252778478898108,0.0033346498385071754,NEUTRAL,0.9167201519012451,0.0026889145374298096,0.08059099316596985,NEUTRAL,ref
The chambers are substantial and accommodatingly decorated.,"Initially, the room was a bit cramped, even the bathroom, but after changing to a suite it was perfect.",a,b,20,0.9784933924674988,0.018859952688217163,0.002646674169227481,NEUTRAL,0.607466459274292,0.3768765330314636,0.015657037496566772,NEUTRAL,ref
The chambers are substantial and accommodatingly decorated.,"With its modern design, the suite had a magnificent view from the window.",a,b,20,0.9872691631317139,0.007879850454628468,0.004850963596254587,NEUTRAL,0.9285539984703064,0.0035863115917891264,0.0678597092628479,NEUTRAL,ref
The chambers are substantial and accommodatingly decorated.,"The breakfast and dinner options were expensive, but there was excellent taste and quality.",a,b,20,0.9882688522338867,0.0023595537059009075,0.009371560998260975,NEUTRAL,0.9838486909866333,0.006555370520800352,0.009595951996743679,NEUTRAL,ref
The chambers are substantial and accommodatingly decorated.,"Contrary to what would usually be expected, there was no free coffee maker or coffee available.",a,b,20,0.8277812004089355,0.16585920751094818,0.00635954225435853,NEUTRAL,0.8089659214019775,0.1859222650527954,0.005111756268888712,NEUTRAL,ref
The chambers are substantial and accommodatingly decorated.,The toiletries were great but there,a,b,20,0.9762685298919678,0.009702417999505997,0.014029061421751976,NEUTRAL,0.8707078695297241,0.03740479424595833,0.09188723564147949,NEUTRAL,ref
"What's more, the restroom is roomy and has a spacious tub.","

Staying at the hotel during the winter season is a truly remarkable experience.",a,b,20,0.9958457350730896,0.000963567232247442,0.0031907004304230213,NEUTRAL,0.9969882369041443,0.0010361461900174618,0.0019756646361202,NEUTRAL,ref
"What's more, the restroom is roomy and has a spacious tub.","Initially, the room was a bit cramped, even the bathroom, but after changing to a suite it was perfect.",a,b,20,0.9848553538322449,0.012870782986283302,0.0022739111445844173,NEUTRAL,0.9396600127220154,0.05670532211661339,0.0036346493288874626,NEUTRAL,ref
"What's more, the restroom is roomy and has a spacious tub.","With its modern design, the suite had a magnificent view from the window.",a,b,20,0.9780852794647217,0.009240659885108471,0.012674068100750446,NEUTRAL,0.9961793422698975,0.0014495698269456625,0.0023710664827376604,NEUTRAL,ref
"What's more, the restroom is roomy and has a spacious tub.","The breakfast and dinner options were expensive, but there was excellent taste and quality.",a,b,20,0.9878778457641602,0.004710786510258913,0.007411411497741938,NEUTRAL,0.9948713779449463,0.003372743958607316,0.001755963428877294,NEUTRAL,ref
"What's more, the restroom is roomy and has a spacious tub.","Contrary to what would usually be expected, there was no free coffee maker or coffee available.",a,b,20,0.7185850143432617,0.2759818732738495,0.005433117970824242,NEUTRAL,0.9527848958969116,0.04569181054830551,0.0015231817960739136,NEUTRAL,ref
"What's more, the restroom is roomy and has a spacious tub.",The toiletries were great but there,a,b,20,0.9901174902915955,0.004376613534986973,0.005505937617272139,NEUTRAL,0.9910219311714172,0.005252471659332514,0.003725636750459671,NEUTRAL,ref
Additional lovely touches such as a chocolate on the pillow round out the experience.,"

Staying at the hotel during the winter season is a truly remarkable experience.",a,b,20,0.996594250202179,0.0010387102374807,0.0023670466616749763,NEUTRAL,0.9754701256752014,0.002851366763934493,0.0216786228120327,NEUTRAL,ref
Additional lovely touches such as a chocolate on the pillow round out the experience.,"Initially, the room was a bit cramped, even the bathroom, but after changing to a suite it was perfect.",a,b,20,0.9939407110214233,0.004446523729711771,0.0016127226408571005,NEUTRAL,0.9964250922203064,0.0021022092550992966,0.0014726564986631274,NEUTRAL,ref
Additional lovely touches such as a chocolate on the pillow round out the experience.,"With its modern design, the suite had a magnificent view from the window.",a,b,20,0.9730747938156128,0.02429892309010029,0.002626334549859166,NEUTRAL,0.9886645078659058,0.0026748969685286283,0.008660533465445042,NEUTRAL,ref
